GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security.Recaptcha,100,224,28,26,1,10,34,15,11,11
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security.SecurityHdiv.HdivExcludedParamForUrl,43,49,10,4,1,3,11,4,4,4
core-config/core-config,com.nttdata.core.context,ApplicationContextHolder,0,10,0,0,0,4,0,3,0,3
core-config/core-config,com.nttdata.core.context,ConfigProperties.Audit,18,61,0,10,1,3,4,9,4,4
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security.Recaptcha.RecaptchaAction,49,29,9,1,1,3,10,3,5,3
core-config/core-config,com.nttdata.core.context,ConfigProperties.Security.SecurityHdiv,44,167,0,30,1,7,8,23,8,8
core-config/core-config,com.nttdata.core.context,ConfigProperties.Locale,24,108,0,22,1,4,5,16,5,5
core-config/core-config,com.nttdata.core.context,ConfigProperties,37,198,1,45,0,6,8,30,7,8
core-config/core-config,com.nttdata.core.context,ConfigProperties.Bbdd,11,55,0,12,1,2,3,9,3,3
core-config/core-config,com.nttdata.core.context,ConfigProperties.ApiResponse,12,40,0,6,1,2,3,6,3,3
core-config/core-config,com.nttdata.core.context,ApplicationEventPublisherHolder,10,0,0,0,4,0,3,0,3,0
core-config/core-config,com.nttdata.core.context,ApplicationContextHolder.InnerContextResource,0,4,0,0,0,2,0,1,0,1
core-config/core-config,com.nttdata.core.common.utils,OrderByConfig,50,0,4,0,13,0,7,0,5,0
core-config/core-config,com.nttdata.core.common.utils,PaginationUtils,267,0,30,0,64,0,23,0,8,0
core-config/core-config,com.nttdata.core.common.utils,EscapedStringSerializer,10,0,0,0,3,0,2,0,2,0
core-config/core-config,com.nttdata.core.common.utils,BatchUtils,17,0,0,0,6,0,1,0,1,0
core-config/core-config,com.nttdata.core.common.utils,ValidatorUtils,223,0,24,0,49,0,26,0,14,0
core-config/core-config,com.nttdata.core.ui.service.impl,UIServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
core-config/core-config,com.nttdata.core.ui.service.impl,UIServiceImpl.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
core-config/core-config,com.nttdata.core.ui.service.impl,UIServiceImpl,62,45,6,0,12,11,4,4,1,4
core-config/core-config,com.nttdata.core.security.recaptcha.model,Recaptcha,22,211,1,43,0,9,6,32,5,11
core-config/core-config,com.nttdata.core.mappings.web,MappingPageValidator,27,0,0,0,8,0,3,0,3,0
core-config/core-config,com.nttdata.core.mappings.web,MappingValidator,38,0,0,0,11,0,3,0,3,0
core-config/core-config,com.nttdata.core.mappings.web,MappingController,40,0,0,0,10,0,8,0,8,0
core-config/core-config,com.nttdata.core.common.exception.handler,RestResponseEntityExceptionHandler,282,0,14,0,50,0,17,0,10,0
core-config/core-config,com.nttdata.core.crud.web,CrudValidator,10,0,0,0,3,0,3,0,3,0
core-config/core-config,com.nttdata.core.crud.web,CrudController,245,0,6,0,45,0,19,0,16,0
core-config/core-config,com.nttdata.core.security.hdiv,CustomLinkUrlProcessor,82,0,8,0,22,0,9,0,5,0
core-config/core-config,com.nttdata.core.security.hdiv,HdivSecurityLogger,30,0,0,0,7,0,3,0,3,0
core-config/core-config,com.nttdata.core.security.hdiv,ValidatorHelperRequestWrapper,159,0,18,0,40,0,15,0,6,0
core-config/core-config,com.nttdata.core.common.exception,CoreRuntimeException,25,0,0,0,10,0,4,0,4,0
core-config/core-config,com.nttdata.core.common.exception,CoreException,25,0,0,0,10,0,4,0,4,0
core-config/core-config,com.nttdata.core.common.exception,BadRequestException,24,0,0,0,10,0,4,0,4,0
core-config/core-config,com.nttdata.core.common.exception,WrapperRuntimeException,4,0,0,0,2,0,1,0,1,0
core-config/core-config,com.nttdata.core.common.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
core-config/core-config,com.nttdata.core.security.recaptcha.service.impl,RecaptchaServiceImpl,172,0,26,0,39,0,19,0,6,0
core-config/core-config,com.nttdata.core.security.interceptor,HdivValidationErrorInterceptor,51,0,4,0,11,0,5,0,3,0
core-config/core-config,com.nttdata.core.menuauthorities.model,MenuAuthority,23,103,1,23,2,3,4,16,3,5
core-config/core-config,com.nttdata.core.profiles.web,ProfileController,18,0,0,0,6,0,6,0,6,0
core-config/core-config,com.nttdata.core.profiles.web,ProfileValidator,36,0,0,0,10,0,3,0,3,0
core-config/core-config,com.nttdata.core.profiles.web,ProfilePageValidator,16,0,0,0,5,0,3,0,3,0
core-config/core-config,com.nttdata.core.profileauthorities.service.impl,ProfileAuthorityServiceImpl,197,0,16,0,37,0,15,0,7,0
core-config/core-config,com.nttdata.core.crud.model,CrudDataLoad,7,10,0,0,1,3,2,3,2,3
core-config/core-config,com.nttdata.core.audit.mapper,AuditableMapper,15,0,0,0,3,0,3,0,3,0
core-config/core-config,com.nttdata.core.audit,AuditableActionsEnum,0,44,0,0,0,2,0,1,0,1
core-config/core-config,com.nttdata.core.audit,AuditableStepsEnum,0,24,0,0,0,2,0,1,0,1
core-config/core-config,com.nttdata.core.security.headers,CsrfTokenHeaderWriter,27,0,4,0,9,0,4,0,2,0
core-config/core-config,com.nttdata.core.authorities.model,AuthorityDataLoad,78,0,16,0,4,0,14,0,6,0
core-config/core-config,com.nttdata.core.authorities.model,Authority,10,144,1,31,0,6,3,23,2,8
core-config/core-config,com.nttdata.core.authorities.model,AuthorityPage,5,33,1,7,1,1,2,6,1,3
core-config/core-config,com.nttdata.core.security.utils,SecurityUtils,26,12,3,1,8,4,3,2,1,2
core-config/core-config,com.nttdata.core.authorities.service.impl,AuthorityServiceImpl,113,0,0,0,30,0,7,0,7,0
core-config/core-config,com.nttdata.core.mappingauthorities.model,MappingAuthority,23,103,1,23,2,3,4,16,3,5
core-config/core-config,com.nttdata.core.common.interceptor,PaginationInterceptor.BoundSqlSource,12,0,0,0,4,0,2,0,2,0
core-config/core-config,com.nttdata.core.common.interceptor,CoreLocaleChangeInterceptor,80,0,8,0,13,0,8,0,4,0
core-config/core-config,com.nttdata.core.common.interceptor,CacheEvictAspect,56,0,6,0,11,0,6,0,3,0
core-config/core-config,com.nttdata.core.common.interceptor,PaginationInterceptor,224,0,12,0,52,0,12,0,6,0
core-config/core-config,com.nttdata.core.common.interceptor,CoreLocaleChangeInterceptor.CoreHttpServletRequestWrapper,34,0,2,0,10,0,4,0,3,0
core-config/core-config,com.nttdata.core.users.web,UserController,18,0,0,0,6,0,6,0,6,0
core-config/core-config,com.nttdata.core.users.web,UserValidator,41,0,0,0,13,0,3,0,3,0
core-config/core-config,com.nttdata.core.users.web,UserPageValidator,29,0,0,0,9,0,3,0,3,0
core-config/core-config,com.nttdata.core.security.recaptcha.aop,RecaptchaInterceptor,59,0,6,0,12,0,6,0,3,0
core-config/core-config,com.nttdata.core.security.recaptcha.aop,RecaptchaAdvisor,46,0,6,0,7,0,9,0,6,0
core-config/core-config,com.nttdata.core.security.recaptcha.aop,RecaptchaAdvisor.RecaptchaAnnotationPointcut,22,0,4,0,4,0,4,0,2,0
core-config/core-config,com.nttdata.core.crud.service,CrudService,59,0,0,0,14,0,8,0,8,0
core-config/core-config,com.nttdata.core.audit.aop,AuditableInterceptor,149,0,8,0,43,0,9,0,5,0
core-config/core-config,com.nttdata.core.audit.aop,AuditableAdvisor,21,26,1,5,6,1,4,5,3,3
core-config/core-config,com.nttdata.core.audit.aop,AuditableAdvisor.AuditAnnotationPointcut,54,0,8,0,13,0,7,0,3,0
core-config/core-config,com.nttdata.core.menuauthorities.service.impl,MenuAuthorityServiceImpl,75,0,6,0,16,0,7,0,4,0
core-config/core-config,com.nttdata.core.users.service.impl,UserServiceImpl,82,0,0,0,23,0,7,0,7,0
